"API Access Token","API Access Token"
"Access token for the instance's /private API, with or without the ""secret-token:"" prefix.","Access token for the instance's /private API, with or without the ""secret-token:"" prefix."
"Amount","Amount"
"Applied after the Taler backend confirms the payment. State remains ""processing"".","Applied after the Taler backend confirms the payment. State remains ""processing""."
"Applied while the customer is paying from their Taler wallet, before the payment is confirmed.","Applied while the customer is paying from their Taler wallet, before the payment is confirmed."
"Base URL of your Taler merchant backend, e.g. https://backend.demo.taler.net","Base URL of your Taler merchant backend, e.g. https://backend.demo.taler.net"
"Cannot refund: missing Taler order data.","Cannot refund: missing Taler order data."
"Debug Logging","Debug Logging"
"GNU Taler","GNU Taler"
"GNU Taler - Connection","GNU Taler - Connection"
"GNU Taler - Payment Method","GNU Taler - Payment Method"
"Instance","Instance"
"Log API requests and responses to var/log/taler.log.","Log API requests and responses to var/log/taler.log."
"Merchant Backend URL","Merchant Backend URL"
"Merchant backend instance ID to bill against. Leave empty for the default instance at the backend root.","Merchant backend instance ID to bill against. Leave empty for the default instance at the backend root."
"No payment found for order.","No payment found for order."
"Order #%s at %s","Order #%s at %s"
"Order Status URL","Order Status URL"
"Order status set to ""%s"" per GNU Taler configuration.","Order status set to ""%s"" per GNU Taler configuration."
"Paid (processing) order status","Paid (processing) order status"
"Pay URI","Pay URI"
"Payment was not completed.","Payment was not completed."
"Pending-payment order status","Pending-payment order status"
"Refund Window (days)","Refund Window (days)"
"Refund for order #%s","Refund for order #%s"
"Refund window granted at order creation. After it passes, the Taler backend rejects refunds for the order.","Refund window granted at order creation. After it passes, the Taler backend rejects refunds for the order."
"Refunded Total","Refunded Total"
"Taler API error: %s","Taler API error: %s"
"Taler Order ID","Taler Order ID"
"Taler connection error: %s","Taler connection error: %s"
"Taler: failed to create order. Response: %s","Taler: failed to create order. Response: %s"
"The Taler refund deadline for this order has passed.","The Taler refund deadline for this order has passed."
"The configured URL does not point to a Taler merchant backend.","The configured URL does not point to a Taler merchant backend."
"The order is unknown to the Taler merchant backend.","The order is unknown to the Taler merchant backend."
"The refund amount exceeds the amount paid via Taler.","The refund amount exceeds the amount paid via Taler."
"Unable to initialize payment. Please try again.","Unable to initialize payment. Please try again."
"Your payment has not been confirmed yet. If you completed the payment, your order will be processed automatically as soon as the Taler backend confirms it.","Your payment has not been confirmed yet. If you completed the payment, your order will be processed automatically as soon as the Taler backend confirms it."
